Attributes,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Symbols,AAPL,GOOG,AAPL,GOOG,AAPL,GOOG,AAPL,GOOG,AAPL,GOOG,AAPL,GOOG
Date,,,,,,,,,,,,
2022-01-03,180.95973205566406,145.07449340820312,182.00999450683594,145.07449340820312,182.8800048828125,145.5500030517578,177.7100067138672,143.50250244140625,177.8300018310547,144.47549438476562,104487900.0,25214000.0
2022-01-04,178.6630859375,144.41650390625,179.6999969482422,144.41650390625,182.94000244140625,146.61000061035156,179.1199951171875,143.81614685058594,182.6300048828125,145.55050659179688,99310400.0,22928000.0
2022-01-05,173.91064453125,137.65350341796875,174.9199981689453,137.65350341796875,180.1699981689453,144.29800415039062,174.63999938964844,137.52349853515625,179.61000061035156,144.18099975585938,94537600.0,49642000.0
2022-01-06,171.0075225830078,137.55099487304688,172.0,137.55099487304688,175.3000030517578,139.68600463867188,171.63999938964844,136.7635040283203,172.6999969482422,137.49749755859375,96904000.0,29050000.0
2022-01-07,171.17654418945312,137.00450134277344,172.1699981689453,137.00450134277344,174.13999938964844,138.25474548339844,171.02999877929688,135.78900146484375,172.88999938964844,137.90499877929688,86709100.0,19408000.0
2022-01-10,171.1964111328125,138.57400512695312,172.19000244140625,138.57400512695312,172.5,138.63999938964844,168.1699981689453,133.1405029296875,169.0800018310547,135.0989990234375,106765600.0,34096000.0
2022-01-11,174.0697479248047,140.0175018310547,175.0800018310547,140.0175018310547,175.17999267578125,140.32949829101562,170.82000732421875,136.81350708007812,172.32000732421875,138.1804962158203,76138300.0,23502000.0
2022-01-12,174.5171356201172,141.6479949951172,175.52999877929688,141.6479949951172,177.17999267578125,142.8142547607422,174.82000732421875,141.11199951171875,176.1199951171875,141.55450439453125,74805200.0,23642000.0
2022-01-13,171.1964111328125,139.13099670410156,172.19000244140625,139.13099670410156,176.6199951171875,143.1855010986328,171.7899932861328,138.91400146484375,175.77999877929688,141.8404998779297,84505800.0,26566000.0
2022-01-14,172.07135009765625,139.7864990234375,173.07000732421875,139.7864990234375,173.77999877929688,141.20050048828125,171.08999633789062,137.5,171.33999633789062,137.5,80440800.0,23826000.0
2022-01-18,168.82020568847656,136.29049682617188,169.8000030517578,136.29049682617188,172.5399932861328,137.39149475097656,169.41000366210938,135.61700439453125,171.50999450683594,136.60000610351562,90956700.0,27382000.0
2022-01-19,165.27081298828125,135.65199279785156,166.22999572753906,135.65199279785156,171.0800018310547,138.39950561523438,165.94000244140625,135.5,170.0,136.93850708007812,94815000.0,20796000.0
